id,title,abstract,approved
1,Smart Grid Optimization using AI,Developing deep reinforcement learning agents to optimize microgrid power distribution and reduce transmission losses,1
2,Nanoparticle Drug Delivery System,Synthesis of biocompatible gold nanoparticles for targeted oncology drug delivery frameworks,1
3,Blockchain Voting Mechanism,A decentralized secure voting protocol leveraging zero-knowledge proofs for national elections,0
4,Autonomous Crop Monitoring Drones,Design of a multispectral imaging drone fleet with onboard convolutional models for early detection of crop disease across large farmland,1
5,Wearable Cardiac Anomaly Detector,A low-power wearable device using signal processing and a lightweight classifier to detect early-stage arrhythmia and alert clinicians in real time,1
6,Social Media Sentiment Archive,A general-purpose tool to collect and store social media posts for future undefined research use,0
7,Seismic-Resistant Modular Housing,Structural engineering framework for low-cost modular housing units validated through finite element analysis under simulated earthquake loading,1
8,Campus Event Recommendation App,A mobile app that recommends campus events to students based on their class schedule and past attendance,0
9,Marine Microplastic Filtration System,Development of a scalable filtration membrane using functionalized nanofibers to capture microplastics from coastal wastewater outflows,1
10,Generic AI Chatbot Platform,A chatbot platform intended for general business use without a specific target industry or problem definition,0